Procode,Deprivation,Patients,Attendances,FTE staff,Diagnosis,Night beds,Day beds,Age   0-15,Age   60-74,No procedure,Operating Expenses,Urban,Sites,Sea distance,MFF payment index,Degree of specialisation,StudentStaff,CCGs,Non-type 1 AE department,Absence Rate,DTOCs
RWH,12.9,228155,785800,5053.6,0.15,0.9,0.9,0.13,0.23,0.35,-453445,0.83,22,41.8,1.14,56577.22,0.03,198,1,0.04,220
RWJ,20.8,153615,566870,4531.4,0.20,0.9,1,0.11,0.22,0.45,-323455,0.89,61,26,1.06,2521.01,0.02,194,1,0.04,685
RWK,34.4,26015,73270,5125.1,0.01,0.9,    ,0.04,0.11,1,-407628,0.91,253,21.6,1.22,-1211.14,0.01,136,0,0.04,210
RWP,17.6,303160,1242600,5214.4,0.20,0.9,0.9,0.09,0.27,0.36,-472151,0.7,78,32.9,1.04,112225.92,0.03,199,1,0.04,639
RWR,14.7,11365,34810,2914.9,0.18,0.9,    ,0,0.14,0.99,-229133,0.89,230,38.9,1.15,-1356.92,0.01,70,0,0.04,692
RWV,26,20,20,2354,1.00,1,    ,0,0.24,1,-158267,0.75,243,7.3,1.02,-92.78,0.01,2,0,0.05,321
RWW,25.2,161175,710405,3588.4,0.22,0.8,1,0.12,0.23,0.46,-256387,0.88,37,8.2,1.05,-9920.66,0.03,198,1,0.05,430
RWX,14,121810,977950,3634.7,0.19,0.9,    ,0.08,0.19,1,-244942,0.85,343,42.8,1.15,-6396.55,0.01,183,0,0.04,600
RWY,24.9,223065,904590,5102.9,0.21,0.9,0.9,0.13,0.21,0.43,-425126,0.82,173,45.2,1.04,37741.32,0.03,198,1,0.04,385
RX1,23.1,391650,1923740,13446.3,0.15,0.9,0.7,0.13,0.23,0.44,-1045766,0.82,105,51.4,1.04,282366.61,0.02,205,1,0.04,1266
RX2,22.3,18935,51860,3899.5,0.50,1,    ,0,0.15,1,-259784,0.86,528,5.1,1.08,-1180.18,0.01,72,0,0.04,936
RX3,30.3,3810,8440,5995.6,0.01,0.8,    ,0.16,0.11,1,-384205,0.76,671,18.1,1.03,-4885.36,0.01,61,0,0.05,506
RX4,32.3,73510,1096775,5278.2,0.14,0.8,    ,0.11,0.12,1,-312935,0.87,429,8.4,1.03,-4024.09,0.01,165,0,0.06,612
RXA,27.3,20095,59850,3001,0.00,0.9,    ,0,0.18,1,-171189,0.89,230,5.8,1.04,-3465.17,0.01,75,0,0.06,332
RXC,23.8,188285,710405,6078.2,0.24,0.9,0.5,0.1,0.26,0.79,-445974,0.8,181,2.7,1.04,299494.48,0.02,197,1,0.04,999
RXE,32.5,2125,2615,2905.1,0.39,0.8,    ,0,0.16,1,-151705,0.82,119,25.4,1.03,-4420.5,0,48,0,0.05,1087
RXF,27.1,292755,1263370,7203.9,0.16,0.9,0.7,0.12,0.22,0.49,-534172,0.83,39,34,1.04,130189.75,0.03,201,1,0.05,1111
RXG,29,25285,82160,3674,0.06,0.9,    ,0.03,0.3,0.99,-230959,0.8,168,34.2,1.04,-3987.79,0,91,0,0.05,175
RXH,19.9,274285,1263185,7386.8,0.19,0.9,0.5,0.11,0.22,0.37,-635161,0.86,66,3.8,1.07,47306.16,0.02,199,1,0.04,985
RXK,38.4,351720,1485800,5782.8,0.15,0.9,1,0.09,0.2,0.51,-487141,0.98,182,55.9,1.04,59762.28,0.03,198,1,0.05,500
RXL,27.7,157995,792065,6050.9,0.16,0.9,0.6,0.1,0.26,0.41,-441268,0.89,133,2,1.03,39430.23,0.02,197,1,0.05,440
RXM,23.7,19695,66555,2224.2,0.01,0.9,    ,0,0.19,0.94,-140140,0.76,186,58,1.03,-3086.45,0.01,97,0,0.06,84
RXN,22.9,232840,999955,7046.7,0.18,0.9,0.8,0.11,0.24,0.44,-524469,0.79,35,9.8,1.04,290153.57,0.02,197,1,0.05,1547
RXP,26.8,327750,977480,6188.4,0.16,0.8,1,0.13,0.21,0.5,-486110,0.62,225,17.9,1.03,66626.09,0.03,200,1,0.05,79
RXQ,10.9,215785,985425,5169.1,0.23,0.9,1,0.15,0.22,0.35,-433377,0.69,57,47,1.14,26443.06,0.03,201,1,0.04,824
RXR,33.1,248065,1022930,7489.8,0.23,0.9,0.9,0.14,0.2,0.44,-501837,0.89,186,18.9,1.03,96578.91,0.03,192,1,0.05,946
RXT,37.1,34510,106165,3709.9,0.00,1,    ,0.01,0.15,0.97,-244544,0.96,277,55.8,1.05,-3298.96,0.01,148,0,0.05,782
RXW,19.8,237880,1056320,5092.1,0.20,0.9,0.9,0.09,0.25,0.43,-387050,0.59,66,40.1,1.03,155738.38,0.02,197,1,0.04,238
RXX,10.9,40765,419360,2204.4,0.59,0.9,    ,0.11,0.12,1,-204017,0.84,407,33.9,1.17,-1986.37,0.01,161,0,0.04,259
RXY,21.5,21370,56845,2816.5,0.75,0.9,    ,0,0.19,1,-180256,0.76,288,11.4,1.1,2871.49,0.01,111,0,0.04,1043
RY2,27.1,211195,564360,2406.1,,    ,    ,0.14,0.23,0,-154756,0.89,323,8.8,1.04,0,0,197,0,0.04,334.85
RY3,17.1,3040,4150,1966.4,0.51,0.9,    ,0.03,0.15,0.76,-121145,0.44,183,18.5,1.02,-3889.3,0,16,0,0.05,483
RY4,9.2,12130,13960,2228.8,0.99,    ,    ,0.24,0.13,1,-140661,0.56,87,35.3,1.14,614.7,0,125,0,0.04,651
RY5,26.1,87330,118320,1597.2,0.22,0.9,0.3,0.25,0.14,0.35,-97529,0.68,371,31.7,1.02,-3051.64,0,197,0,0.05,133
RY6,32.2,10850,38490,2478.6,1.00,1,    ,0.61,0.09,1,-149282,0.95,98,37.6,1.05,-312.56,0,37,0,0.04,0
RY7,29.2,61375,87770,1312.8,,    ,    ,0.21,0.13,0,-80093,0.97,40,2.4,1.04,0,0,195,0,0.05,219.5
RY8,18.9,87190,183330,3324,0.08,0.6,    ,0.12,0.23,0.15,-184633,0.75,264,45,1.03,-14102.1,0,196,0,0.05,163
RY9,18.7,109875,149805,959.7,1.00,    ,    ,0.3,0.09,1,-69006,0.99,24,32.5,1.18,-552.97,0,197,0,0.04,47
RYF,19.1,14505,20930,3953.1,,    ,    ,0.25,0.14,0,-242994,0.49,151,6.6,1.05,0,0,156,0,0.05,498.06
RYG,24.4,1150,3010,3114.7,0.60,0.9,    ,0.2,0.06,1,-199398,0.85,128,63.7,1.06,1647.55,0.01,29,0,0.06,352
RYJ,26.8,476775,2103970,10406.4,0.13,0.8,0.8,0.07,0.21,0.33,-1169891,0.96,77,26,1.24,227259.17,0.03,199,1,0.03,546
RYR,17.1,244230,1254165,5858.3,0.22,0.9,0.8,0.1,0.26,0.43,-445044,0.79,89,3.9,1.08,86690.76,0.03,198,1,0.04,785
RYV,12.8,6675,14075,2023.5,0.29,0.3,    ,0.88,0.02,0.9,-131116,0.44,143,36.6,1.09,-3778.73,0,39,0,0.04,294.48
RYW,34.5,106970,407130,3966.5,0.73,0.9,0.9,0.1,0.22,0.93,-282519,0.91,197,56.6,1.06,721.76,0.01,189,0,0.04,900
RYX,23.9,160960,218615,2969.7,,    ,    ,0.15,0.09,0,-230792,0.95,90,25.1,1.23,0,0,197,0,0.03,95
RYY,23.2,53090,82310,3904.9,0.97,    ,    ,0.2,0.16,0.96,-214514,0.74,209,11.3,1.07,-21.73,0,190,0,0.04,416
