Procode,Deprivation,Patients,Attendances,FTE staff,Diagnosis,Night beds,Day beds,Age   0-15,Age   60-74,No procedure,Operating Expenses,Urban,Sites,Sea distance,MFF payment index,Degree of specialisation,StudentStaff,CCGs,Non-type 1 AE department,Absence Rate,DTOCs
RK9,22.8,237710,980280,6338.6,0.18,0.9,0.7,0.12,0.24,0.44,-527761,0.67,104,3.2,1.02,77787.66,0.03,198,1,0.04,796
RKB,23.6,331395,1375005,7312.2,0.18,0.9,1,0.1,0.22,0.42,-669694,0.86,30,63.2,1.06,137997.91,0.02,197,1,0.04,1441
RKE,32.4,171725,755490,3725.4,0.27,0.8,1,0.1,0.16,0.38,-317863,0.94,35,25.2,1.21,-30512.38,0.02,200,1,0.04,178
RL1,17.3,72655,263225,1297.6,0.00,0.8,0.7,0.07,0.32,0.08,-108200,0.45,37,26.1,1.03,-2113.62,0,187,0,0.04,268
RL4,28.4,298240,1356340,7786.5,0.18,0.9,1,0.1,0.25,0.36,-579390,0.9,325,56.1,1.03,58435.26,0.02,200,1,0.04,668
RLN,30.6,248865,1342445,4476.2,0.15,0.8,    ,0.12,0.25,0.32,-362452,0.91,59,8.6,1.03,48024.71,0.03,198,1,0.04,229
RLQ,18.2,113520,553060,2681.7,0.20,0.9,0.6,0.1,0.27,0.43,-220243,0.42,148,24.7,1.03,-21062.96,0.03,196,1,0.05,543
RLT,21.6,112040,438300,2054.7,0.26,1,1,0.09,0.25,0.37,-167199,0.83,18,66.9,1.05,-32895.44,0.02,194,1,0.04,337
RLY,31.3,11890,43470,1338.4,0.07,0.8,    ,0.12,0.15,1,-83898,0.89,59,33.8,1.02,-5314.21,0.01,72,0,0.04,114
RM1,16.9,307955,1542325,7028.5,0.16,0.9,1,0.1,0.27,0.38,-627971,0.45,108,20.2,1.02,251397.83,0.03,201,1,0.04,564
RM3,30.9,257325,1100305,7478.5,0.18,1,0.9,0.05,0.23,0.39,-753341,0.95,67,21.4,1.06,182489.94,0.02,199,1,0.04,423
RMC,32.2,180390,678785,5176.2,0.22,0.8,0.8,0.13,0.2,0.51,-341377,0.95,107,21.4,1.05,5229.87,0.02,193,1,0.05,496
RMP,31.1,117140,495815,3443.8,0.23,0.9,0.9,0.13,0.21,0.53,-236824,0.98,14,30.6,1.05,-23966.89,0.02,186,1,0.05,532
RMY,22.5,2230,3590,3752.5,0.32,0.8,    ,0.01,0.17,1,-232241,0.64,165,17,1.03,-2409.18,0.01,51,0,0.05,881
RN3,14.9,175985,687840,3984,0.22,0.9,1,0.12,0.23,0.43,-320131,0.65,173,33.3,1.1,17891.99,0.04,196,1,0.04,976
RN5,10.8,259100,1163765,5395.8,0.23,0.9,0.9,0.13,0.23,0.4,-410024,0.66,89,29.6,1.11,57950.44,0.04,198,1,0.04,1434
RN7,18.5,200960,830410,2922.8,0.24,0.9,0.9,0.11,0.21,0.42,-267065,0.87,72,7.5,1.16,5261.93,0.03,194,1,0.04,218
RNA,25.1,195405,1102920,4212.4,0.18,0.9,0.9,0.1,0.23,0.42,-360712,0.96,26,54.3,1.04,44452.62,0.02,197,1,0.05,371
RNL,23,147770,667655,3527.9,0.21,0.9,1,0.11,0.25,0.37,-306567,0.48,75,5,1.03,-10987.16,0.04,197,1,0.05,806
RNN,20.7,32360,77455,2964,0.18,0.9,    ,0.13,0.19,1,-165686,0.48,223,22.7,1.03,-8818.45,0,195,0,0.05,700
RNQ,19.6,150540,557360,3571.9,0.23,0.9,0.9,0.12,0.24,0.39,-280533,0.7,25,47.9,1.05,8045.56,0.03,199,1,0.05,506
RNS,18.4,188075,928285,4409.1,0.21,0.9,1,0.11,0.24,0.43,-338879,0.74,31,60.6,1.06,28354.42,0.03,198,1,0.04,500
RNU,10.1,38715,48915,4625.2,0.18,0.9,    ,0.27,0.12,1,-338419,0.57,164,51.8,1.11,-6480.55,0.01,191,0,0.04,1591
RNZ,13.4,121485,446725,2963.1,0.23,0.8,1,0.12,0.23,0.39,-243848,0.37,79,19.2,1.07,-17764.12,0.02,195,1,0.03,345
RP1,21.5,7565,17560,3234.5,0.77,0.9,    ,0.26,0.11,1,-208093,0.74,171,47.8,1.06,-691.89,0,164,0,0.05,706
RP4,22.9,94995,392310,4544.9,0.07,0.8,0.8,0.9,0,0.21,-482160,0.84,31,23.8,1.29,-6117.3,0,197,0,0.02,560.5
RP5,29.5,249805,888025,5366.3,0.22,0.8,0.9,0.13,0.22,0.43,-404254,0.75,58,22.7,1.04,65716.84,0.02,199,1,0.04,377
RP6,24.3,291130,805030,1954.5,0.00,0.9,1,0.1,0.27,0.05,-227598,0.95,80,22.5,1.27,88307.75,0,201,0,0.04,0
RP7,23.7,6770,11825,1828.3,0.29,0.8,    ,0,0.19,1,-107991,0.6,231,31.2,1.02,-1205.84,0,53,0,0.05,84
RPA,21.9,213225,852185,3703.9,0.19,0.9,1,0.13,0.23,0.47,-324247,0.82,73,4.8,1.1,15022.24,0.02,199,1,0.04,243
RPC,13.4,80815,274400,851.9,0.21,0.5,1,0.11,0.23,0.13,-73265,0.69,30,23.8,1.14,-6037.87,0.01,190,0,0.03,2
RPG,24.8,8035,23300,3248.4,0.43,0.9,    ,0.04,0.13,1,-260391,0.98,138,11,1.18,-1283.23,0.01,83,0,0.04,481
RPY,15.2,85745,488860,3898.8,0.10,0.8,0.8,0.02,0.38,0.14,-401142,0.84,24,25.8,1.21,54215.62,0.01,193,0,0.04,38
RQ3,34.9,152275,726015,4948.4,0.13,0.8,0.6,0.65,0.01,0.36,-426657,0.94,53,56.3,1.05,21954.28,0,194,1,0.04,57
RQ6,39.9,237825,1128075,6312.1,0.24,1,1,0.01,0.28,0.39,-623339,0.96,56,1.4,1.04,80292.8,0.03,197,1,0.05,579
RQ8,13.2,204115,897530,4089.1,0.17,0.9,0.7,0.12,0.22,0.38,-365703,0.67,60,12.6,1.1,16134.53,0.03,197,1,0.04,386
RQM,22.3,367175,1506005,5600.5,0.25,0.9,0.9,0.15,0.15,0.42,-688859,0.97,110,26.1,1.25,97643.37,0.04,199,1,0.03,379
RQW,16.6,156340,600010,3009.4,0.20,0.8,0.9,0.14,0.18,0.48,-251680,0.73,12,25.6,1.15,-9183.52,0.03,194,1,0.04,188
RQX,40,192910,788470,3471.6,0.23,0.8,0.7,0.11,0.12,0.49,-314559,0.99,85,21.1,1.21,2750.46,0.02,197,1,0.03,283
RQY,18.4,35175,361200,2041.5,0.03,0.9,    ,0.13,0.1,1,-175303,0.99,200,25.8,1.2,-3823.47,0.02,169,0,0.04,171
RR7,29.1,141055,640285,3995.2,0.20,1,0.9,0.1,0.23,0.45,-274384,0.9,37,8.7,1.03,-10310.99,0.02,193,1,0.05,218
